id,institutionCode,Barcode,Catalog Number,basisOfRecord,informationWithheld,recordNumber,recordedBy,associatedMedia,eventDate,"
  continent",country,countryCode,stateProvince,county,Locality,decimalLatitude ,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,taxonRank,Category,Collector,Type status,Elevation,Habitat,Habit,Soil Type,Associated Species,Detrminavit,More Information
,,STC00074,1129,PreservedSpecimen,Stem quandrangular. calyx pale yellow flowers,,,,2019-5-10,Asia,India,IN,Kerala,Idukki,Munnar,10.087076,77.062208,WGS138,3000,Hoppea fastigiata clarke,Plantae,,,,Gentianaceae ,,,,,Angiosperms,Sruthy Gopi,No,,,,,,,
,,STC00084,432,PreservedSpecimen,,,,,2019-5-10,Asia,India,IN,Kerala,Idukki,Munnar,10.087076,77.062208,WGS139,3000,Globba sessiliflora Sims,Plantae,,,,Zingiberaceae,,,,,Angiosperms,Havlin Antony T,No,,,,,,,
,,STC00091,928,PreservedSpecimen,"Rhizomatous herbs, rhizome small, leaves petiolate or sessile, inflorescence terminal calyx truncate, lateral staminodes linear, fruit globose or ovoid.",,,,2019-5-10,Asia,India,IN,Kerala,Idukki,Munnar,10.087076,77.062208,WGS140,3000,Globa sessiliflora Sims,Plantae,,,,Zingiberaceae,,,,,Angiosperms,Shilpa K S,No,,,,,,,
,,STC00098,1127,PreservedSpecimen,"Rhizomatous herb, evergreen forests, rhizome small, leaves petiolate or sessile, inflorescesnce terminal calyx, lateral staminoides",,,,2019-5-10,Asia,India,IN,Kerala,Idukki,Munnar,10.087076,77.062208,WGS141,3000,Globa sessiliflora Sims ,Plantae,,,,Zingiberaceae,,,,,Angiosperms,Sruthy Gopi,No,,,,,,,
,,STC00099,729,PreservedSpecimen,"Perennial herb, stem and branches pubescent, glabrous, leaves opposite, simple, ovate, inflotrescence terminal spike",,,,2019-5-10,Asia,India,IN,Kerala,Idukki,Munnar,10.087076,77.062208,WGS142,3000,Stachytarpheta indica (L.) Vahl,Plantae,,,,Verbenaceae,,,,,Angiosperms,Santhy Sasikumar ,No,,,,,,,
,,STC00100,240,PreservedSpecimen,"Leaves simple, opposite apex acute flowers bisexual, cream coloured, stamens 10-16, inserted with them on the disc one of each pair opposite the petal. fruit a drupe",,,,2019-8-26,Asia,India,IN,Kerala,Idukki,Munnar,10.087076,77.062208,WGS143,3000,Carallia brachiata (Lour) Merr,Plantae,,,,Rhizophoraceae,,,,,Angiosperms,Biniya Antony P,No,,,,,,,
,,STC00109,728,PreservedSpecimen,"Rhizomatous heb, leaves petiolate or sessile, inflorescence, terminal, calyx turncate",,,,2019-5-10,Asia,India,IN,Kerala,Idukki,Munnar,10.087076,77.062208,WGS144,3000,Globba sessiliflora,Plantae,,,,Zingiberaceae,,,,,Angiosperms,Santhy sasikumar,No,,,,,,,
,,STC00110,235,PreservedSpecimen,"Leaves simple,alternate,oblong-lanceolate,male flowers minute, female flowers solitary at base of spike, ovar 3 lobes.",,,,2020-1-25,Asia,India,IN,Kerala,Idukki,Munnar,10.087076,77.062208,WGS145,3000,Microstachys chamaelea (L.) Muell-Arg,Plantae,,,,Euphorbiaceae ,,,,,Angiosperms,Biniya Antony P,no,,,,,,,
,,STC00111,930,PreservedSpecimen,"Small branched herbs. Leaves opposite, ovate, subsessile, cymes terminal & axillary, corolla lobes unequal, lanceolate, stamen 1, stigma 2 lobed",,,,2019-5-10,Asia,India,IN,Kerala,Idukki,Munnar,10.087076,77.062208,WGS146,3000,Hoppea fastigiata(Griseb) clarke,Plantae,,,,Gentianaceae ,,,,,Angiosperms,Shilpa K S,No,,,,,,,
,,STC00140,223,PreservedSpecimen,"Stamens 4 angled, leaves simple,opposite, elliptic to oblong, densly pubescent with long hairs on both side, flowers few in terminal cymose clusters.",,,,2020-1-20,Asia,India,IN,Kerala,Idukki,Munnar,10.087076,77.062208,WGS147,3000,Osbeckia aspera (L.) Blume,Plantae,,,,Melastomaceae,,,,,Angiosperms,Biniya Antony P,No,,,,,,,
,,STC00128,347,PreservedSpecimen,"Aquatic plant, flowers are white in colur.",,,,2019-12-15,Asia,India,IN,Kerala,Thrissur,Parappukkara,10.399934,76.24974,WGS148,3000,Nelumbium nucifera,Plantae,,,,Nymphaeaceae,,,,,Angiosperms,Haritha,No,,,,,,,
,,STC00138,324,PreservedSpecimen,"Tree leaves entire alternate white or yellow flowers, fruit berry.",,,,2019-6-26,Asia,India,IN,Kerala,Thrissur,Parappukkara,10.399934,76.24974,WGS149,3000,Michelia champaca L.,Plantae,,,,Magnoliaceae,,,,,Angiosperms,Haritha,No,,,,,,,
,,STC00010,203,PreservedSpecimen,"Leaves unequal,spike 5-15cm long,Flowering at top only.Basal portion with few lanceolate bracts 0.8-1.0cm long.Flowers 0.6-0.8 cm across,spur conical,pedicel and ovary 0.5-0.6 cm long",,,,2019-8-20,Asia,India,IN,Kerala,Thrissur,Perumala,10.622454,76.134782,WGS150,3000,Habenaria diphylla Nimmos,Plantae,,,,Orchidaceae,,,,,Angiosperms,Biniya Antony P,No,,,,,,,
,,STC00014,s.n.,PreservedSpecimen,"Leaves are very small, leaves articulate, 3 foliate, prostrate",,,,--,Asia,India,IN,Kerala,Thrissur,Perumala,10.622454,76.134782,WGS151,3000,Naragamia alata,Plantae,,,,Meliaceae,,,,,Angiosperms,s.col.,No,,,,,,,
,,STC00019,723,PreservedSpecimen,,,,,2019-8-28,Asia,India,IN,Kerala,Thrissur,Perumala,10.622454,76.134782,WGS152,3000,Fimbristylis amblocarpa Govind,Plantae,,,,Cyperaceae,,,,,Angiosperms,Santhy Sasikumar ,No,,,,,,,
,,STC00022,924,PreservedSpecimen,"Profusely branched(dichotomous) erect ephemeral herbs, tall. 5-20 cm, stem acutely 4 angles, glabrous leaves linear, inflorescence axillary or solitary 2-4 flowered cymes fruits-capsule.",,,,2019-8-28,Asia,India,IN,Kerala,Thrissur,Perumala,10.622454,76.134782,WGS153,3000,Oldenlandia dineshii Sojan & V Suresh,Plantae,,,,Rubiaceae,,,,,Angiosperms,Shilpa K S,No,,,,,,,
,,STC00025,417,PreservedSpecimen,,,,,--,Asia,India,IN,Kerala,Thrissur,Perumala,10.622454,76.134782,WGS154,3000,Sesamum prosratum Retz. var laciniatium,Plantae,,,,Pedaliaceae,,,,,Angiosperms,Havlin Antony T,No,,,,,,,
